date;symbol;open;close;diff;diffFixed
2024-09-25;IBM;221.1700;221.2300;0.060000000000002274;0.06
2024-09-24;IBM;219.7800;220.9700;1.1899999999999977;1.19
2024-09-23;IBM;218.0000;220.5000;2.5;2.5
2024-09-20;IBM;214.3300;217.7000;3.369999999999976;3.37
2024-09-19;IBM;218.0100;213.8900;-4.1200000000000045;-4.12
2024-09-18;IBM;214.1300;214.9400;0.8100000000000023;0.81
2024-09-17;IBM;217.2500;214.1300;-3.1200000000000045;-3.12
2024-09-16;IBM;215.8800;217.1600;1.2800000000000011;1.28
2024-09-13;IBM;212.4800;214.7900;2.3100000000000023;2.31
2024-09-12;IBM;210.0000;211.6100;1.6100000000000136;1.61
2024-09-11;IBM;207.7600;209.8900;2.1299999999999955;2.13
2024-09-10;IBM;204.2000;205.3200;1.1200000000000045;1.12
2024-09-09;IBM;201.9400;203.5300;1.5900000000000034;1.59
2024-09-06;IBM;202.3800;200.7400;-1.6399999999999864;-1.64
2024-09-05;IBM;204.0800;202.5900;-1.490000000000009;-1.49
2024-09-04;IBM;200.7600;204.1100;3.3500000000000227;3.35
2024-09-03;IBM;201.9100;201.2800;-0.6299999999999955;-0.63
2024-08-30;IBM;199.1100;202.1300;3.019999999999982;3.02
2024-08-29;IBM;199.3000;198.9000;-0.4000000000000057;-0.4
2024-08-28;IBM;199.0000;198.4600;-0.539999999999992;-0.54
2024-08-27;IBM;197.4400;198.7300;1.289999999999992;1.29
2024-08-26;IBM;196.0000;197.9800;1.9799999999999898;1.98
2024-08-23;IBM;196.7900;196.1000;-0.6899999999999977;-0.69
2024-08-22;IBM;197.2500;195.9600;-1.289999999999992;-1.29
2024-08-21;IBM;195.9700;197.2100;1.240000000000009;1.24
2024-08-20;IBM;194.5900;196.0300;1.4399999999999977;1.44
2024-08-19;IBM;193.8400;194.7300;0.8899999999999864;0.89
2024-08-16;IBM;193.5800;193.7800;0.19999999999998863;0.2
2024-08-15;IBM;193.5100;193.9500;0.4399999999999977;0.44
2024-08-14;IBM;191.1500;192.3200;1.1699999999999875;1.17
2024-08-13;IBM;190.2900;190.9900;0.700000000000017;0.7
2024-08-12;IBM;191.2500;189.4800;-1.7700000000000102;-1.77
2024-08-09;IBM;191.1800;191.4500;0.2699999999999818;0.27
2024-08-08;IBM;187.5000;192.6100;5.110000000000014;5.11
2024-08-07;IBM;188.0800;186.8000;-1.2800000000000011;-1.28
2024-08-06;IBM;184.7000;186.8000;2.1000000000000227;2.1
2024-08-05;IBM;184.5500;183.3100;-1.240000000000009;-1.24
2024-08-02;IBM;188.7800;189.1200;0.3400000000000034;0.34
2024-08-01;IBM;192.8100;189.6600;-3.1500000000000057;-3.15
2024-07-31;IBM;191.0000;192.1400;1.1399999999999864;1.14
2024-07-30;IBM;191.4800;191.0400;-0.4399999999999977;-0.44
2024-07-29;IBM;193.1800;191.5000;-1.6800000000000068;-1.68
2024-07-26;IBM;190.5100;191.7500;1.240000000000009;1.24
2024-07-25;IBM;186.8000;191.9800;5.179999999999978;5.18
2024-07-24;IBM;184.1400;184.0200;-0.11999999999997613;-0.12
2024-07-23;IBM;184.3600;184.1000;-0.2600000000000193;-0.26
2024-07-22;IBM;183.4000;184.1500;0.75;0.75
2024-07-19;IBM;186.3300;183.2500;-3.0800000000000125;-3.08
2024-07-18;IBM;186.6400;185.2200;-1.4199999999999875;-1.42
2024-07-17;IBM;185.4400;187.4500;2.009999999999991;2.01
2024-07-16;IBM;184.6700;185.8100;1.1400000000000148;1.14
2024-07-15;IBM;183.3800;182.8800;-0.5;-0.5
2024-07-12;IBM;178.5600;182.8300;4.27000000000001;4.27
2024-07-11;IBM;177.6500;178.3100;0.6599999999999966;0.66
2024-07-10;IBM;176.6000;177.8400;1.240000000000009;1.24
2024-07-09;IBM;177.6000;176.4800;-1.1200000000000045;-1.12
2024-07-08;IBM;176.4100;177.6400;1.2299999999999898;1.23
2024-07-05;IBM;175.7400;176.0200;0.28000000000000114;0.28
2024-07-03;IBM;177.8800;175.7300;-2.1500000000000057;-2.15
2024-07-02;IBM;174.8400;177.3000;2.460000000000008;2.46
2024-07-01;IBM;173.4500;175.1000;1.6500000000000057;1.65
2024-06-28;IBM;170.8500;172.9500;2.0999999999999943;2.1
2024-06-27;IBM;171.1200;170.8500;-0.27000000000001023;-0.27
2024-06-26;IBM;171.2800;171.8700;0.5900000000000034;0.59
2024-06-25;IBM;175.1400;172.6000;-2.539999999999992;-2.54
2024-06-24;IBM;175.0000;175.0100;0.009999999999990905;0.01
2024-06-21;IBM;173.9700;172.4600;-1.509999999999991;-1.51
2024-06-20;IBM;174.0800;173.9200;-0.160000000000025;-0.16
2024-06-18;IBM;170.0000;170.5500;0.5500000000000114;0.55
2024-06-17;IBM;168.7600;169.5000;0.7400000000000091;0.74
2024-06-14;IBM;168.2900;169.2100;0.9200000000000159;0.92
2024-06-13;IBM;169.0100;169.1200;0.11000000000001364;0.11
2024-06-12;IBM;171.3500;169.0000;-2.3499999999999943;-2.35
2024-06-11;IBM;169.9800;169.3200;-0.6599999999999966;-0.66
2024-06-10;IBM;169.5500;170.3800;0.8299999999999841;0.83
2024-06-07;IBM;168.1800;170.0100;1.829999999999984;1.83
2024-06-06;IBM;167.3800;168.2000;0.8199999999999932;0.82
2024-06-05;IBM;166.4100;167.3800;0.9699999999999989;0.97
2024-06-04;IBM;164.6000;165.8100;1.210000000000008;1.21
2024-06-03;IBM;166.5400;165.2800;-1.259999999999991;-1.26
2024-05-31;IBM;165.7000;166.8500;1.1500000000000057;1.15
2024-05-30;IBM;165.5600;165.6300;0.06999999999999318;0.07
2024-05-29;IBM;168.0000;167.0500;-0.9499999999999886;-0.95
2024-05-28;IBM;170.4400;169.6600;-0.7800000000000011;-0.78
2024-05-24;IBM;171.4800;170.8900;-0.5900000000000034;-0.59
2024-05-23;IBM;175.3900;170.6700;-4.719999999999999;-4.72
2024-05-22;IBM;173.3900;173.6900;0.30000000000001137;0.3
2024-05-21;IBM;169.9400;173.4700;3.530000000000001;3.53
2024-05-20;IBM;169.0000;169.9200;0.9199999999999875;0.92
2024-05-17;IBM;168.9700;169.0300;0.060000000000002274;0.06
2024-05-16;IBM;168.2600;168.9700;0.710000000000008;0.71
2024-05-15;IBM;167.9400;168.2600;0.3199999999999932;0.32
2024-05-14;IBM;167.8600;167.3600;-0.5;-0.5
2024-05-13;IBM;167.5000;167.5600;0.060000000000002274;0.06
2024-05-10;IBM;167.1300;167.1500;0.020000000000010232;0.02
2024-05-09;IBM;167.5000;166.2700;-1.2299999999999898;-1.23
2024-05-08;IBM;168.0100;169.9000;1.8900000000000148;1.89
2024-05-07;IBM;169.0000;168.3800;-0.6200000000000045;-0.62
2024-05-06;IBM;166.5000;168.6100;2.1100000000000136;2.11
2024-05-03;IBM;165.0000;165.7100;0.710000000000008;0.71